Country,Country_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
Kuwait,KWT,EMR,HIC,2026,4,0_4,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,3,15_64,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,2,5_14,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,1,5_14,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,2,0_4,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,1,65+,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,1,15_64,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,4,0_4,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,1,0_4,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,4,5_14,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,4,15_64,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,3,5_14,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,3,0_4,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,2,5_14,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,2,15_64,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,4,0_4,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,1,5_14,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,3,15_64,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,1,0_4,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,2,0_4,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,1,15_64,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,4,65+,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,3,65+,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,2,65+,0,0.0,0.0
Guam,GUM,WPR,HIC,2026,1,65+,0,0.0,0.0
Guadeloupe,GLP,AMR,,2026,4,65+,0,0.0,0.0
Guadeloupe,GLP,AMR,,2026,4,5_14,0,0.0,0.0
Guadeloupe,GLP,AMR,,2026,4,0_4,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,2,65+,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,4,65+,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,4,15_64,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,4,5_14,0,0.0,0.0
Guinea,GIN,AFR,LMC,2026,3,0_4,0,0.0,0.0
Guinea,GIN,AFR,LMC,2026,2,0_4,0,0.0,0.0
Guinea,GIN,AFR,LMC,2026,1,15_64,0,0.0,0.0
Guinea,GIN,AFR,LMC,2026,1,0_4,0,0.0,0.0
Guinea,GIN,AFR,LMC,2026,4,65+,0,0.0,0.0
Guinea,GIN,AFR,LMC,2026,3,65+,0,0.0,0.0
Guinea,GIN,AFR,LMC,2026,2,65+,0,0.0,0.0
Guinea,GIN,AFR,LMC,2026,1,65+,0,0.0,0.0
Guernsey,GGY,EUR,,2026,4,5_14,0,0.0,0.0
Guernsey,GGY,EUR,,2026,4,15_64,0,0.0,0.0
Guernsey,GGY,EUR,,2026,3,5_14,0,0.0,0.0
Guernsey,GGY,EUR,,2026,2,5_14,0,0.0,0.0
Guernsey,GGY,EUR,,2026,2,15_64,0,0.0,0.0
Guadeloupe,GLP,AMR,,2026,3,65+,0,0.0,0.0
Guernsey,GGY,EUR,,2026,1,5_14,0,0.0,0.0
Guernsey,GGY,EUR,,2026,1,0_4,0,0.0,0.0
Guernsey,GGY,EUR,,2026,3,15_64,0,0.0,0.0
Guernsey,GGY,EUR,,2026,3,0_4,0,0.0,0.0
Guernsey,GGY,EUR,,2026,2,0_4,0,0.0,0.0
Guernsey,GGY,EUR,,2026,1,15_64,0,0.0,0.0
Guernsey,GGY,EUR,,2026,4,65+,0,0.0,0.0
Guernsey,GGY,EUR,,2026,3,65+,0,0.0,0.0
Guernsey,GGY,EUR,,2026,2,65+,0,0.0,0.0
Guernsey,GGY,EUR,,2026,1,65+,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,3,65+,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,3,5_14,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,3,0_4,0,0.0,0.0
Guatemala,GTM,AMR,UMC,2026,2,15_64,0,0.0,0.0
Guernsey,GGY,EUR,,2026,4,0_4,0,0.0,0.0
Guadeloupe,GLP,AMR,,2026,3,0_4,0,0.0,0.0
Guadeloupe,GLP,AMR,,2026,2,65+,0,0.0,0.0
Guadeloupe,GLP,AMR,,2026,2,5_14,0,0.0,0.0
Greenland,GRL,EUR,HIC,2026,1,5_14,0,0.0,0.0
Greenland,GRL,EUR,HIC,2026,1,0_4,0,0.0,0.0
Greenland,GRL,EUR,HIC,2026,4,15_64,0,0.0,0.0
Greenland,GRL,EUR,HIC,2026,3,15_64,0,0.0,0.0
Greenland,GRL,EUR,HIC,2026,2,15_64,0,0.0,0.0
Greenland,GRL,EUR,HIC,2026,1,15_64,0,0.0,0.0
Greenland,GRL,EUR,HIC,2026,3,65+,0,0.0,0.0
Greenland,GRL,EUR,HIC,2026,2,65+,0,0.0,0.0
Greenland,GRL,EUR,HIC,2026,1,65+,0,0.0,0.0
Greece,GRC,EUR,HIC,2026,4,5_14,0,0.0,0.0
Greece,GRC,EUR,HIC,2026,4,0_4,0,0.0,0.0
Greece,GRC,EUR,HIC,2026,3,65+,10,0.0,0.0
Greece,GRC,EUR,HIC,2026,2,65+,15,0.0,0.0
Greenland,GRL,EUR,HIC,2026,2,0_4,0,0.0,0.0
Greece,GRC,EUR,HIC,2026,1,0_4,0,0.0,0.0
